date,close,volume,open,high,low
8/21/17,337.86,6489850,345.82,345.82,331.85
8/18/17,347.46,5390805,352.91,354,345.8
8/17/17,351.92,5010825,361.21,363.3,351.59
8/16/17,362.91,3406173,363,366.5,362.52
8/15/17,362.33,3084601,365.2,365.49,359.37
8/14/17,363.8,4507969,364.63,367.66,362.6
8/11/17,357.87,4357562,356.97,361.26,353.62
8/10/17,355.4,7063054,361.6,366.6504,354.66
8/9/17,363.53,6881182,361,370,358.95
8/8/17,365.22,7431838,357.53,368.58,357.4
8/7/17,355.17,6309331,357.35,359.48,352.75
8/4/17,356.91,9233295,347,357.27,343.3
8/3/17,347.09,13524270,345.33,350,343.15
8/2/17,325.89,11942350,318.94,327.12,311.22
8/1/17,319.57,8284997,323,324.45,316.13
7/31/17,323.47,8525454,335.5,341.49,321.04
7/28/17,335.07,4869891,336.89,339.6,332.51
7/27/17,334.46,8285879,346,347.5,326.29
7/26/17,343.85,4809514,340.36,345.5,338.12
7/25/17,339.6,6977932,345,345.6,334.15
7/24/17,342.52,8598292,330.24,343.399,330.01
7/21/17,328.4,4871708,329.46,331.2575,325.8
7/20/17,329.92,5142516,326.9,330.22,324.2
7/19/17,325.26,6345884,328.23,331.65,323.2193
7/18/17,328.24,6360710,317.5,329.13,315.66
7/17/17,319.57,9827506,325.54,327.1,313.45
7/14/17,327.78,5607924,323.19,328.42,321.22
7/13/17,323.41,8582315,330.11,331.6,319.97
7/12/17,329.52,10317240,330.4,333.1,324.5
7/11/17,327.22,11526760,316,327.28,314.3
7/10/17,316.05,13760290,312.9,317.94,303.13
7/7/17,313.22,14129950,313.5,317,307.38
7/6/17,308.83,19258040,317.26,320.7899,306.3
7/5/17,327.09,16998300,347.2,347.24,326.33
7/3/17,352.62,6305401,370.24,371.35,351.5
6/30/17,361.61,5823046,363.71,366.7674,359.6187
6/29/17,360.75,8202463,370.61,371,354.1
6/28/17,371.24,6290323,366.68,371.74,362.52
6/27/17,362.37,6977494,376.4,376.4,362.02
6/26/17,377.49,6596854,386.69,386.95,373.1
6/23/17,383.45,6425180,382.45,386.99,379.345
6/22/17,382.61,7510406,377.99,385,373.57
6/21/17,376.4,4916770,374.35,376.99,368.02
6/20/17,372.24,7419110,376.67,378.88,369.73
6/19/17,369.8,6433434,375,376.7,367.8
6/16/17,371.4,6347450,377.975,378.01,370.1
6/15/17,375.34,10412650,372.5,375.46,366.49
6/14/17,380.66,12778480,381.085,384.25,376.31
6/13/17,375.95,11773370,367.62,376,366.61
6/12/17,359.01,10507860,357.99,364.5,350.62
6/9/17,357.32,17250060,374.42,376.87,354.8
6/8/17,370,9028677,363.75,371.9,360.22
6/7/17,359.65,9348692,356.34,360.5,355.14
6/6/17,352.85,11031920,344.7,359.4929,339.97
6/5/17,347.32,6769174,338.5,348.44,334.21
6/2/17,339.85,5583952,339.77,342.88,335.93
6/1/17,340.37,7601764,344,344.88,337.29
5/31/17,341.01,9937556,337.69,342.89,335.16
5/30/17,335.1,7771536,326,336.28,325.76
5/26/17,325.14,7793009,317.28,325.49,316.31
5/25/17,316.83,5000432,311.02,316.97,307.81
5/24/17,310.22,5035192,306.51,311,305.4
5/23/17,303.86,4314267,310.46,310.73,303.48
5/22/17,310.35,4324305,312.8,314.37,306.8
5/19/17,310.83,4654580,315.5,316.5,310.2
5/18/17,313.06,5609153,307,313.94,305.31
5/17/17,306.11,6695657,314.39,314.63,305.5
5/16/17,317.01,4141066,317.59,320.06,315.14
